slug,snkrdunk_id,name
m1s-092-063,663661,メガサーナイトex
s8a-g-001-015,91155,ピカチュウV
sv10-125-098,568902,ロケット団のミュウツーex
s12-110-098,100567,ルギアV
cp6-011-087,91467,リザードン [CP6 011/087]
s8-119-100,93016,ミュウVMAX [s8 119/100]
s12a-226-172,103073,ルカリオVSTAR [S12a 226/172]
s12a-237-172,103058,キバナ [S12a 237/172]
s8-106-100,91163,ミュウV [s8 106/100]
sv3a-089-062,140105,パラソルおねえさん [sv3a 089/062]
s12a-213-172,103066,エンテイV [S12a 213/172]
288-sv-p,585230,ビクティニ [288/SV-P]
sm9-109-095,100073,ナツメの暗示 [SM9 109/095]
s12a-219-172,103840,ゼラオラVMAX [S12a 219/172]
098-sv-p,135232,名探偵ピカチュウ [098/SV-P]
s10p-071-067,91141,オリジンパルキアV [S10P 071/067]
065-sv-p,122057,ブースター [065/SV-P]
s12a-223-172,103665,デオキシスVSTAR [S12a 223/172]
s12a-222-172,103796,デオキシスVMAX [S12a 222/172]
