rank,name,mint_price,psa10_price,diff,url
2,ピカチュウ [CP3 010/032],360000,840000,480000,https://pokeca-chart.com/cp3-010-032
10,ブラッキーVMAX [S6a 095/069],476999,861111,384112,https://pokeca-chart.com/s6a-095-069
59,ゲンガー&ミミッキュGX [SM9 103/095],222622,578000,355378,https://pokeca-chart.com/sm9-103-095
39,ピカチュウex [MC 764/742],353824,675000,321176,https://pokeca-chart.com/mc-764-742
80,レックウザV [S7R 076/067],142000,310000,168000,https://pokeca-chart.com/s7r-076-067
46,メガルカリオex [M1L 092/063],55000,176250,121250,https://pokeca-chart.com/m1l-092-063
1,ミュウVMAX [s8 119/100],171851,279333,107482,https://pokeca-chart.com/s8-119-100
7,MサーナイトEX [CP3 020/032],75000,180000,105000,https://pokeca-chart.com/cp3-020-032
54,メガジガルデex [M3 117/080],29444,117950,88506,https://pokeca-chart.com/m3-117-080
35,メガゲンガーex [M2a 240/193],64994,139167,74173,https://pokeca-chart.com/m2a-240-193
63,メガリザードンXex [M2 110/080],134750,208000,73250,https://pokeca-chart.com/m2-110-080
29,ミュウex [SV2a 205/165],53000,123000,70000,https://pokeca-chart.com/sv2a-205-165
98,ゼクロムex [sv11B 174/086],70000,137963,67963,https://pokeca-chart.com/sv11b-174-086
91,ピカチュウ [323/S-P],82000,145000,63000,https://pokeca-chart.com/323-s-p
53,メイのはげまし [M3 115/080],20175,82000,61825,https://pokeca-chart.com/m3-115-080
64,ピカチュウex [WCS23 001/030],60500,121700,61200,https://pokeca-chart.com/wcs23-001-030
9,ブラッキーV [S6a 085/069],43999,105000,61001,https://pokeca-chart.com/s6a-085-069
8,ミュウツーV [s10b 074/071],9999,64908,54909,https://pokeca-chart.com/s10b-074-071
19,ピカチュウ [CLL 008/032],16499,64500,48001,https://pokeca-chart.com/cll-008-032
18,リザードンex [SV4a 349/190],44444,90633,46189,https://pokeca-chart.com/sv4a-349-190
26,チラチーノex [M4 117/083],4250,49800,45550,https://pokeca-chart.com/m4-117-083
74,ピカチュウ [SM11b 054/049],29999,75000,45001,https://pokeca-chart.com/sm11b-054-049
45,ソルガレオ&ルナアーラGX [SM11b 063/049],50199,94800,44601,https://pokeca-chart.com/sm11b-063-049
44,ブラッキーex [sv8a 217/187],67500,110000,42500,https://pokeca-chart.com/sv8a-217-187
66,ミュウex [SV2a 208/165],12750,54450,41700,https://pokeca-chart.com/sv2a-208-165
56,ロケット団のミュウツーex [M2a 237/193],28750,68511,39761,https://pokeca-chart.com/m2a-237-193
51,名探偵ピカチュウ [098/SV-P],35596,73433,37837,https://pokeca-chart.com/098-sv-p
77,ピカチュウ [208/S-P],25500,62840,37340,https://pokeca-chart.com/208-s-p
17,カヒリ [SM7a 065/060],6100,43350,37250,https://pokeca-chart.com/sm7a-065-060
93,ブラッキーVMAX [S8b 245/184],9222,39500,30278,https://pokeca-chart.com/s8b-245-184
52,ミュウツー [CLK 014/032],7777,37325,29548,https://pokeca-chart.com/clk-014-032
95,メガリザードンXex [M2a 223/193],8107,36800,28693,https://pokeca-chart.com/m2a-223-193
67,ニャースex [M3 114/080],12920,41575,28655,https://pokeca-chart.com/m3-114-080
69,ミュウツーVSTAR [S12a 221/172],17500,45333,27833,https://pokeca-chart.com/s12a-221-172
60,エリカの招待 [SV2a 206/165],9000,34041,25041,https://pokeca-chart.com/sv2a-206-165
88,リザードンV [S12a 211/172],6400,30000,23600,https://pokeca-chart.com/s12a-211-172
68,ピカチュウ [SV2a 173/165],5028,27125,22097,https://pokeca-chart.com/sv2a-173-165
73,サーナイトex [SV4a 348/190],14166,35500,21334,https://pokeca-chart.com/sv4a-348-190
58,オリジンディアルガV [S10D 075/067],7450,28000,20550,https://pokeca-chart.com/s10d-075-067
36,ポケモンセンターのお姉さん [069/S-P],27000,47500,20500,https://pokeca-chart.com/069-s-p
43,メイのはげまし [M3 107/080],2999,22800,19801,https://pokeca-chart.com/m3-107-080
41,ルカリオVSTAR [S12a 226/172],3666,22800,19134,https://pokeca-chart.com/s12a-226-172
16,ミュウツーVSTAR [s10b 091/071],5999,25000,19001,https://pokeca-chart.com/s10b-091-071
24,かがやくイーブイ [s10b 055/071],1500,19500,18000,https://pokeca-chart.com/s10b-055-071
84,ルスワール [SM8b 159/150],7350,22500,15150,https://pokeca-chart.com/sm8b-159-150
85,シャワーズ [063/SV-P],9900,25000,15100,https://pokeca-chart.com/063-sv-p
90,ポッチャマ [SM11b 052/049],9000,22260,13260,https://pokeca-chart.com/sm11b-052-049
83,ニンフィア(マスターボールミラー) [sv8a 068/187],4600,17350,12750,https://pokeca-chart.com/sv8a-068-187
14,ミライドン [048/SV-P],24999,37500,12501,https://pokeca-chart.com/048-sv-p
82,メガディアンシーex [M2a 238/193],2444,14800,12356,https://pokeca-chart.com/m2a-238-193
71,ロケット団のニドキングex [sv10 126/098],10000,22000,12000,https://pokeca-chart.com/sv10-126-098
30,ミミッキュ [SV4a 341/190],2300,14166,11866,https://pokeca-chart.com/sv4a-341-190
94,かがやくカメックス [s10b 018/071],1033,12499,11466,https://pokeca-chart.com/s10b-018-071
72,サンダースex [sv8a 209/187],6660,17874,11214,https://pokeca-chart.com/sv8a-209-187
33,イーブイex [sv8a 223/187],4832,16000,11168,https://pokeca-chart.com/sv8a-223-187
86,ヒカリ [M2 115/080],4000,15119,11119,https://pokeca-chart.com/m2-115-080
92,ブースターex [sv8a 202/187],7400,18474,11074,https://pokeca-chart.com/sv8a-202-187
87,ナンジャモのハラバリーex [sv9 130/100],3200,13999,10799,https://pokeca-chart.com/sv9-130-100
49,メガラティアスex [M1S 088/063],4800,15450,10650,https://pokeca-chart.com/m1s-088-063
89,ピカチュウ [020/M-P],3196,13836,10640,https://pokeca-chart.com/020-m-p
65,ダイゴの決断 [SM7 102/096],6400,17000,10600,https://pokeca-chart.com/sm7-102-096
11,メガスターミーex [M3 111/080],3950,14500,10550,https://pokeca-chart.com/m3-111-080
4,ナンジャモ [SV2D 091/071],5600,16100,10500,https://pokeca-chart.com/sv2d-091-071
22,メガフシギバナex [M1L 087/063],6999,17400,10401,https://pokeca-chart.com/m1l-087-063
13,ヒスイの仲間たち [S12a 249/172],1500,11137,9637,https://pokeca-chart.com/s12a-249-172
31,メガガルーラex [M1S 089/063],3700,13103,9403,https://pokeca-chart.com/m1s-089-063
48,ゼラオラVMAX [S12a 219/172],2400,11700,9300,https://pokeca-chart.com/s12a-219-172
40,ミロカロスex [sv8 131/106],13333,22250,8917,https://pokeca-chart.com/sv8-131-106
